;1 кв. 2006 г.;2 кв. 2006 г.;3 кв. 2006 г.;4 кв. 2006 г.;1 кв. 2007 г.;2 кв. 2007 г.;3 кв. 2007 г.;4 кв. 2007 г.;1 кв. 2008 г.;2 кв. 2008 г.;3 кв. 2008 г.;4 кв. 2008 г.;1 кв. 2009 г.;2 кв. 2009 г.;3 кв. 2009 г.;4 кв. 2009 г.;1 кв. 2010 г.;2 кв. 2010 г.;3 кв. 2010 г.;4 кв. 2010 г.;1 кв. 2011 г.;2 кв. 2011 г.;3 кв. 2011 г.;4 кв. 2011 г.;1 кв. 2012 г.;2 кв. 2012 г.;3 кв. 2012 г.;4 кв. 2012 г.;1 кв. 2013 г.;2 кв. 2013 г.;3 кв. 2013 г.;4 кв. 2013 г.;1 кв. 2014 г.;2 кв. 2014 г.;3 кв. 2014 г.;4 кв. 2014 г.;1 кв. 2015 г.;2 кв. 2015 г.;3 кв. 2015 г.;4 кв. 2015 г.;1 кв. 2016 г.;2 кв. 2016 г.;3 кв. 2016 г.;4 кв. 2016 г.;1 кв. 2017 г.;2 кв. 2017 г.;3 кв. 2017 г.;4 кв. 2017 г.;1 кв. 2018 г.;2 кв. 2018 г.;3 кв. 2018 г.;4 кв. 2018 г.;1 кв. 2019 г.;2 кв. 2019 г.;3 кв. 2019 г.;4 кв. 2019 г.;1 кв. 2020 г.;2 кв. 2020 г.;3 кв. 2020 г.;4 кв. 2020 г.;
Архангельская область (кроме Ненецкого автономного округа);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124.56;110.96;103.90;98.32;101.10;101.06;100.17;102.82;109.18;101.83;97.70;99.51;96.72;100.24;100.26;99.42;98.59;99.36;100.10;102.66;103.41;102.39;103.18;107.12;107.78;105.87;104.23;100.79;100.98;103.33;105.66;106.88;
Вологодская область;109.14;118.45;136.73;166.86;169.81;172.34;151.53;121.51;117.93;110.98;108.92;101.22;94.85;85.82;83.19;84.47;85.31;92.79;95.87;105.45;105.63;106.42;107.69;108.41;111.12;111.77;113.79;111.50;108.90;105.89;103.48;100.61;99.89;100.19;97.67;100.35;98.41;96.70;97.18;92.64;90.49;94.33;98.27;98.05;101.32;98.39;97.07;99.85;99.65;101.61;101.18;102.23;103.72;102.85;105.77;104.02;104.47;108.12;109.16;112.39;
Калининградская область;110.52;112.61;110.50;124.81;162.05;166.67;173.11;154.43;106.50;105.51;107.93;105.13;101.01;98.71;95.16;91.22;92.52;93.35;97.40;101.88;101.28;106.15;106.61;104.56;106.76;106.77;104.95;104.10;103.51;102.39;101.98;103.65;103.07;103.07;103.96;105.13;107.94;109.60;110.66;110.71;105.99;106.65;103.90;102.81;101.95;99.94;102.61;103.03;102.29;103.03;101.93;101.58;102.72;104.69;104.20;104.07;104.48;105.86;108.76;113.79;
Ленинградская область;106.48;108.86;114.68;121.46;143.55;143.01;121.86;113.71;110.80;123.50;127.27;126.14;119.47;110.20;102.07;93.97;92.34;89.88;87.39;95.01;101;97.25;101.91;99.61;107.39;108.34;107.34;103.88;107.02;100.08;100.61;100.40;112.79;121.16;116.29;119.23;106.96;109.50;109.13;109.76;98.81;95.92;100.59;99.89;101.06;101.82;100.69;99.67;101.82;102.40;102.77;103.16;110.19;107.53;102.95;102.18;100.04;103.09;104.28;107.30;
Новгородская область;111.68;115.98;135.58;155.35;168.32;162.69;146.38;124.62;111.65;119.58;127.67;125.98;112.53;103.90;97.99;97.37;100.06;108.60;107.31;106.85;104.98;106.56;110.15;105.04;103.34;107.49;112.41;114.81;111.18;112.72;110.31;107.78;100.57;95.76;99.20;101.66;104.07;94.80;91.64;88.22;84.35;95.42;99.50;102.14;101.42;102.55;102.26;100.06;100.26;101.77;106.21;108.64;106.86;103.98;100.77;102.04;101.76;106.07;113.04;112.94;
Псковская область;112.40;114.05;118.17;128.74;136.95;146.53;146.29;142.41;162.02;149.27;136.33;113.86;102.97;101.42;103.38;106.98;106.79;109.10;105.70;99.67;98.17;97.14;100.20;101.22;104.73;104.71;103.05;106.02;106.22;105.62;109.08;103.08;105.28;104.17;103.17;103.81;102.20;101.97;101.20;99.45;100.93;100.89;100.58;99.47;98.10;96.12;95;99.19;100.50;100;100.42;101.63;98.87;98.85;99.24;100.60;99.88;101.37;101.28;103.81;
Город Санкт-Петербург город федерального значения;103.43;127.14;140.80;147.30;153.42;141.93;121.81;120.30;130.69;136.95;136.37;115.69;101.78;92.16;87.94;93.69;93.07;94.60;99.97;96.48;106.44;112.73;112.34;109.94;115.15;113.61;119.68;116.73;112.40;108.46;106.96;98.97;105.18;105.27;100.42;102;95.03;95.61;100.52;97.93;100.81;103.17;103.07;107.96;106.31;102.37;103.22;103.72;108.86;107.56;107.09;106.51;105.13;105.70;106.46;109.33;105.80;109.23;109.60;113.20;
Южный федеральный округ (по 2009 год);115.68;117.97;121.51;123.34;124.29;127.41;129.13;131.36;132.82;134.05;126.85;121.49;106.89;97.33;91.35;90.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Южный федеральный округ (с 2010 года);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92.44;96.77;99.03;100.42;102.34;106.29;105.28;105.85;106.25;105.07;105.89;105.07;103.27;103.58;103.03;102.25;102.52;103.82;102.56;105.48;108.94;103.12;103.70;100.90;99.03;98.22;101.20;99.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Южный федеральный округ (с 29.07.2016);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101.87;101.38;100.28;100.60;102.19;101.42;103.78;107.03;108.57;108.06;111.10;107.82;107.93;110.75;110.76;114.10;
Республика Адыгея (Адыгея);114.32;117.71;117.97;116.09;124.95;140.89;136.37;143.61;145.18;132.23;147.16;132.45;113.39;111.64;95.29;93.31;96.79;82.31;84.69;83.89;75.88;115.57;113.21;114.48;118.64;104.05;103.98;99.52;95.35;105.73;99.02;101.42;105.11;96.43;109.19;103.34;107.15;110.90;104.16;108.21;92.70;93.48;96.31;98.08;101.14;98.83;95.75;97.61;100.06;96.78;99.68;99.67;101.34;101.82;102.05;101.53;100.43;105.23;113.60;120.64;
Республика Калмыкия;112;106.24;105.67;105.69;107.44;115.55;124.26;125.17;125.78;120.28;111.43;120.15;120.36;116.27;115.95;103.23;101.08;101.39;101.55;105.28;101.32;101.41;101.83;99.80;102.21;102.74;102.33;102.56;101.45;100;101.87;104.05;107.28;108.46;105.32;104.78;107.81;103.04;102.56;100.85;100.19;101.26;99.64;99.89;97.45;97.33;98.49;97.43;98.39;100.03;100.42;101.33;102.59;105.36;98.64;102;105.50;104.62;105.21;105.23;
Республика Крым;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103.19;99.84;100.20;100.26;105.69;106.47;106.93;100.53;113.36;115.53;115.41;114.72;109.39;109.84;112.84;111.65;
Краснодарский край;118.13;122.01;125.03;127.14;130.87;132.05;133.27;131.22;131.17;125.11;113.39;112.23;105.69;95.69;90.12;88.99;91.76;97.38;97.54;98.24;97.68;102.23;103.32;104.14;106.44;105.09;105.90;105.81;102.64;103.07;103;101.85;101.31;102.95;101.79;105.96;112.14;104.08;106.18;102.78;99.80;98.04;103.09;99.98;103.39;102.16;99.78;101.42;103.13;101.17;104.24;109.86;109.27;108.01;116.31;110.13;110.22;115.80;112.27;116.66;
Астраханская область;120.60;125.08;125.87;121.30;118.61;120.18;136.08;149.64;165.55;163.92;149.66;133.06;117.42;108.71;97.65;93.90;93.58;93.55;99.64;103.44;103.85;105.08;103.43;103.19;104.54;103.04;105.46;105.55;106.27;109;105.94;106.06;109.66;109.50;110.19;110.53;106.87;104.75;101.01;98.57;96.61;96.47;96.30;99.50;97.81;98.98;99.31;98.39;98.14;99.59;101.69;101.62;103.72;103.90;104.15;107.29;114.12;114.40;115.20;111.47;
Волгоградская область;124.53;123.37;122.88;124.46;137.42;142.45;143.45;155.39;146.84;154.55;158.65;136.99;112.58;89.90;76.42;74.14;82.38;89.43;99.09;113.24;110.27;114.21;108.15;103.45;109.07;105.76;108.17;105.74;104.71;104.82;101.01;101.29;103.11;103.20;101.91;103.78;106.38;104.80;102.70;97.03;98.17;96.82;97.46;101.21;99.56;101.17;102.25;102.81;104;104.96;107.25;109.54;110.69;109.25;104.65;102.85;103.68;105.81;110.17;110.21;
Ростовская область;112.89;114.36;123.31;126.77;118.04;123.15;124.64;126.12;114.87;123.44;122.85;121.52;101.94;99.09;94.37;94.25;97.96;98.51;100.43;101.55;110.28;108.60;106.99;110.37;104.82;105.48;105.72;103.90;105.17;104.54;103.81;103.50;105.07;106.30;104.53;104.43;102.89;99.36;98.55;98.49;98.31;99.33;99.74;98.34;101.17;101.25;100.77;99.11;99.69;100.08;101.41;102.97;104.60;104.43;102.71;101.82;103.31;102.59;106.67;110.71;
